Short description,,Number,Priority,IT service(u_it_service),Created Month
OneERP – Bank Key Change  ,,RITM0189298,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189099,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , MDG ,RITM0188005,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189991,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189649,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190121,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189311,Low,SAP S/4Hana - Production,September 2024
OneERP – Change Approver ,,RITM0189838,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189022,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189421,Low,SAP S/4Hana - Production,September 2024
OneERP – Change Approver ,,RITM0190291,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190062,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0188302,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0188742,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , MDG ,RITM0188879,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0190230,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189730,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0190006,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190334,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests ,,RITM0189947,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189755,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189055,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188493,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189754,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0190321,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0188404,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0190227,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189548,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189600,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189643,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188774,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0188263,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189166,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188755,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190078,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0188368,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188762,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190003,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189420,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188120,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189619,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : OneERP Esker ,RITM0188082,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188451,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189545,Low,SAP S/4Hana - Production,September 2024
OneERP – Internal Order  ,,RITM0188186,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188773,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : OneERP Esker ,RITM0188260,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188448,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188140,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188976,Low,SAP S/4Hana - Production,September 2024
OneERP – Bank Key Change  ,,RITM0189855,Low,SAP S/4Hana - Production,September 2024
OneERP – Internal Order  ,,RITM0188080,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190104,Low,SAP S/4Hana - Production,September 2024
OneERP – Master Data request  , GL account creation ,RITM0190149,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189488,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests ,,RITM0189760,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188326,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189788,Low,SAP S/4Hana - Production,September 2024
OneERP – Change Approver ,,RITM0188133,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , MDG ,RITM0188602,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188852,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188167,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188054,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188926,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188749,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190211,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188055,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189647,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190219,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188559,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189171,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190012,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188517,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188223,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188309,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190210,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188314,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188364,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188327,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189483,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190010,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188110,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190305,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189797,Low,SAP S/4Hana - Production,September 2024
Wave 3 , one ERP ,RITM0189580,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188481,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189050,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190031,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190122,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189781,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188639,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189700,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189080,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189257,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189355,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0190275,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189287,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189902,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189170,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188705,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188869,Low,SAP S/4Hana - Production,September 2024
Need to unlock and reset the password of the below user ID in the PS4 400 system. ,,RITM0188744,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0190123,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188449,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189693,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188400,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189528,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0189764,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189275,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188896,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189477,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189369,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189361,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189191,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0190108,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188791,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189082,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189090,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0190255,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189300,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : OneERP Esker ,RITM0189239,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0190144,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189149,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189165,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188593,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189370,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0189148,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188838,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189271,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0190146,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189702,Low,SAP S/4Hana - Production,September 2024
FFID ,,RITM0188172,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188145,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188612,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189372,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188623,Low,SAP S/4Hana - Production,September 2024
OneERP ,  : S/4 HANA & MDG ,RITM0188127,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189765,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189304,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188619,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , MDG ,RITM0190257,Low,SAP S/4Hana - Production,September 2024
Custom Fields and Logic,,RITM0189512,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188310,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188739,Low,SAP S/4Hana - Production,September 2024
Need to deactivate the below user ID in all the SAP systems ,,RITM0188892,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189302,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188711,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189079,Low,SAP S/4Hana - Production,September 2024
Need to unlock and reset the password for the below user in the QS4 400 and PS4 400 systems. ,,RITM0188001,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0189412,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188643,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188735,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0190295,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189305,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188710,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189091,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188261,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189184,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189593,Low,SAP S/4Hana - Production,September 2024
Need to deactivate the below user in all the SAP systems ,,RITM0189254,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0189712,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188294,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0188068,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189309,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0190187,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188058,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189097,Low,SAP S/4Hana - Production,September 2024
Need to reactivate the below user in all the SAP systems ,,RITM0189230,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188125,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189371,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188490,Low,SAP S/4Hana - Production,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0188986,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0189552,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188617,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , MDG ,RITM0189927,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189652,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189198,Low,SAP S/4Hana - Production,September 2024
OneERP – Other requests , S/4 HANA ,RITM0189104,Low,SAP S/4Hana - Production,September 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0184342,Low,"SAP S/4Hana - Production, Esker ONEERP - Production",July 2024
OneERP , New user : OneERP Esker ,RITM0182901,Low,"SAP S/4Hana - Production, Esker ONEERP - Production",June 2024
OneERP , Modify user : OneERP Esker ,RITM0192535,Low,"SAP S/4Hana - Production, Esker ONEERP - Production",October 2024
OneERP – Other requests , S/4 HANA ,RITM0181514,Medium,"SAP S/4Hana - Production, SAP CPI - Production",June 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0178663,Low,"SAP S/4Hana - Production, SAP S/4Hana - Quality",May 2024
OneERP – Other requests , S/4 HANA ,RITM0187561,Low,SAP S/4Hana - Quality,August 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0187559,Low,SAP S/4Hana - Quality,August 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0184460,Low,SAP S/4Hana - Quality,July 2024
"Need SAP S/4HANA system access in DS4,QS4 and PS4 same as like Mahesh Kalane ",,RITM0182875,Low,SAP S/4Hana - Quality,June 2024
OneERP , New user : S/4 HANA & MDG ,RITM0178798,Low,SAP S/4Hana - Quality,May 2024
PIR setup for 2000000052 ,,RITM0191983,Low,SAP S/4Hana - Quality,October 2024
OneERP – Other requests , S/4 HANA ,RITM0193028,Low,SAP S/4Hana - Quality,October 2024
OneERP , Modify user : S/4 HANA & MDG ,RITM0188983,Low,SAP S/4Hana - Quality,September 2024
OneERP , New user : S/4 HANA & MDG ,RITM0190260,Low,SAP S/4Hana - Quality,September 2024
"Report for UK entities MINT, MITS, MRL, MMCL, MITO, & MBL ",,RITM0182771,Low,ServiceNow,June 2024
OneERP – Other requests , S/4 HANA ,RITM0181034,Low,ServiceNow,June 2024
"Request for Supply Chain data team to provide a list of all SKUs, Description and HS (commodity) code for all CX product ",,RITM0182289,Low,Supply Chain - File Management Automation - Power Platform Solution,June 2024
OneERP , Modify user : OneERP Esker ,RITM0190801,Low,Tagetik - Foundation - Production,October 2024
I cannot sign in on Workday and ESKER through the website ,,RITM0192868,Low,"Workday Global - Production, Esker ONEERP - Production",October 2024
